2018-10-22_10:09:17,6612.00,25.00
2018-10-22_10:09:24,6609.00,24.94
2018-10-22_10:09:31,6628.00,24.94
2018-10-22_10:09:38,6654.00,24.94
2018-10-22_10:09:46,6619.00,24.94
2018-10-22_10:09:53,6587.00,24.94
2018-10-22_10:10:00,6593.00,24.94
2018-10-22_10:10:07,6604.00,24.94
2018-10-22_10:10:15,6589.00,24.94
2018-10-22_10:10:22,6612.00,24.94
2018-10-22_10:10:29,6653.00,25.00
2018-10-22_10:10:37,6623.00,25.00
2018-10-22_10:10:44,6621.00,25.00
2018-10-22_10:10:51,6614.00,25.00
2018-10-22_10:10:58,6603.00,25.00
2018-10-22_10:11:06,6589.00,25.00
2018-10-22_10:11:13,6623.00,25.00
2018-10-22_10:11:20,6619.00,25.00
2018-10-22_10:11:27,6629.00,25.00
2018-10-22_10:11:35,6572.00,25.06
2018-10-22_10:11:42,6606.00,25.06
2018-10-22_10:11:49,6637.00,25.06
2018-10-22_10:11:57,6652.00,25.00
2018-10-22_10:12:04,6602.00,25.06
2018-10-22_10:12:11,6608.00,25.06
2018-10-22_10:12:18,6619.00,25.06
2018-10-22_10:12:26,6629.00,25.06
2018-10-22_10:12:33,6631.00,25.06
2018-10-22_10:12:40,6583.00,25.06
2018-10-22_10:12:48,6610.00,25.06
2018-10-22_10:12:55,6621.00,25.06
2018-10-22_10:13:02,6636.00,25.06
2018-10-22_10:13:09,6612.00,25.06
2018-10-22_10:13:17,6577.00,25.06
2018-10-22_10:13:24,6603.00,25.06
2018-10-22_10:13:31,6592.00,25.06
2018-10-22_10:13:38,6619.00,25.06
2018-10-22_10:13:46,6607.00,25.06
2018-10-22_10:13:53,6614.00,25.06
2018-10-22_10:14:00,6611.00,25.06
2018-10-22_10:14:08,6626.00,25.06
2018-10-22_10:14:15,6628.00,25.06
2018-10-22_10:14:22,6586.00,25.06
2018-10-22_10:14:29,6608.00,25.06
2018-10-22_10:14:37,6618.00,25.06
2018-10-22_10:14:44,6620.00,25.06
2018-10-22_10:14:51,6614.00,25.06
2018-10-22_10:14:58,6612.00,25.00
2018-10-22_10:15:06,6594.00,25.00
2018-10-22_10:15:13,6591.00,25.00
2018-10-22_10:15:20,6587.00,25.00
2018-10-22_10:15:28,6601.00,25.00
2018-10-22_10:15:35,6580.00,25.00
2018-10-22_10:15:42,6601.00,25.00
2018-10-22_10:15:49,6613.00,25.00
2018-10-22_10:15:57,6624.00,25.00
2018-10-22_10:16:04,6602.00,25.00
2018-10-22_10:16:11,6589.00,25.00
2018-10-22_10:16:19,6638.00,25.00
2018-10-22_10:16:26,6576.00,25.00
2018-10-22_10:16:33,6589.00,25.00
2018-10-22_10:16:40,6572.00,25.00
2018-10-22_10:16:48,6575.00,24.94
2018-10-22_10:16:55,6593.00,24.94
2018-10-22_10:17:02,6586.00,24.94
2018-10-22_10:17:09,6599.00,24.94
2018-10-22_10:17:17,6619.00,24.94
2018-10-22_10:17:24,6599.00,24.94
2018-10-22_10:17:31,6577.00,24.94
2018-10-22_10:17:39,6612.00,25.00
2018-10-22_10:17:46,6593.00,25.00
2018-10-22_10:17:53,6604.00,25.00
2018-10-22_10:18:00,6561.00,25.00
2018-10-22_10:18:08,6577.00,25.00
2018-10-22_10:18:15,6631.00,25.00
2018-10-22_10:18:22,6610.00,25.00
2018-10-22_10:18:29,6624.00,25.00
2018-10-22_10:18:37,6583.00,25.00
2018-10-22_10:18:44,6603.00,25.00
2018-10-22_10:18:51,6593.00,25.00
2018-10-22_10:18:59,6594.00,25.00
2018-10-22_10:19:06,6603.00,25.00
2018-10-22_10:19:13,6622.00,25.00
2018-10-22_10:19:20,6614.00,25.00
2018-10-22_10:19:28,6562.00,25.00
2018-10-22_10:19:35,6599.00,25.00
2018-10-22_10:19:42,6601.00,25.00
2018-10-22_10:19:50,6601.00,25.00
2018-10-22_10:19:57,6604.00,25.00
2018-10-22_10:20:04,6587.00,25.00
2018-10-22_10:20:11,6595.00,25.00
2018-10-22_10:20:19,6590.00,25.00
2018-10-22_10:20:26,6589.00,25.00
2018-10-22_10:20:33,6603.00,25.00
2018-10-22_10:20:40,6617.00,25.00
2018-10-22_10:20:48,6625.00,25.00
2018-10-22_10:20:55,6587.00,25.00
2018-10-22_10:21:02,6603.00,25.00
2018-10-22_10:21:10,6601.00,25.00
2018-10-22_10:21:17,6565.00,25.00
2018-10-22_10:21:24,6581.00,25.00
2018-10-22_10:21:31,6581.00,24.94
2018-10-22_10:21:39,6583.00,25.00
2018-10-22_10:21:46,6585.00,24.94
2018-10-22_10:21:53,6606.00,25.00
2018-10-22_10:22:00,6585.00,25.00
2018-10-22_10:22:08,6603.00,25.00
2018-10-22_10:22:15,6599.00,25.00
2018-10-22_10:22:22,6594.00,25.00
2018-10-22_10:22:30,6609.00,25.00
2018-10-22_10:22:37,6592.00,25.00
2018-10-22_10:22:44,6617.00,25.00
2018-10-22_10:22:51,6616.00,25.00
2018-10-22_10:22:59,6598.00,25.00
2018-10-22_10:23:06,6601.00,25.00
2018-10-22_10:23:13,6617.00,25.00
2018-10-22_10:23:21,6577.00,25.00
2018-10-22_10:23:28,6548.00,25.00
2018-10-22_10:23:35,6585.00,25.00
2018-10-22_10:23:42,6589.00,25.00
2018-10-22_10:23:50,6581.00,25.00
2018-10-22_10:23:57,6552.00,25.00
2018-10-22_10:24:04,6569.00,25.00
2018-10-22_10:24:11,6588.00,25.00
2018-10-22_10:24:19,6639.00,25.00
2018-10-22_10:24:26,6606.00,25.00
2018-10-22_10:24:33,6608.00,25.00
2018-10-22_10:24:41,6618.00,25.06
2018-10-22_10:24:48,6589.00,25.06
2018-10-22_10:24:55,6584.00,25.06
2018-10-22_10:25:02,6568.00,25.06
2018-10-22_10:25:10,6591.00,25.06
2018-10-22_10:25:17,6603.00,25.06
2018-10-22_10:25:24,6596.00,25.06
2018-10-22_10:25:31,6620.00,25.06
2018-10-22_10:25:39,6588.00,25.06
2018-10-22_10:25:46,6576.00,25.06
2018-10-22_10:25:53,6564.00,25.06
2018-10-22_10:26:01,6595.00,25.06
2018-10-22_10:26:08,6591.00,25.06
2018-10-22_10:26:15,6579.00,25.06
2018-10-22_10:26:22,6576.00,25.06
2018-10-22_10:26:30,6609.00,25.12
2018-10-22_10:26:37,6599.00,25.12
2018-10-22_10:26:44,6588.00,25.12
2018-10-22_10:26:52,6562.00,25.12
2018-10-22_10:26:59,6601.00,25.12
2018-10-22_10:27:06,6586.00,25.12
2018-10-22_10:27:13,6580.00,25.12
2018-10-22_10:27:21,6563.00,25.12
2018-10-22_10:27:28,6602.00,25.12
2018-10-22_10:27:35,6585.00,25.12
2018-10-22_10:27:42,6598.00,25.12
2018-10-22_10:27:50,6576.00,25.12
2018-10-22_10:27:57,6582.00,25.12
2018-10-22_10:28:04,6587.00,25.12
2018-10-22_10:28:12,6581.00,25.12
2018-10-22_10:28:19,6580.00,25.12
2018-10-22_10:28:26,6550.00,25.12
2018-10-22_10:28:33,6579.00,25.12
2018-10-22_10:28:41,6599.00,25.12
2018-10-22_10:28:48,6569.00,25.12
2018-10-22_10:28:55,6579.00,25.12
2018-10-22_10:29:02,6574.00,25.12
2018-10-22_10:29:10,6569.00,25.12
2018-10-22_10:29:17,6591.00,25.12
2018-10-22_10:29:24,6578.00,25.12
2018-10-22_10:29:32,6560.00,25.12
2018-10-22_10:29:39,6578.00,25.12
2018-10-22_10:29:46,6578.00,25.12
2018-10-22_10:29:53,6598.00,25.12
2018-10-22_10:30:01,6582.00,25.12
2018-10-22_10:30:08,6590.00,25.12
2018-10-22_10:30:15,6566.00,25.12
2018-10-22_10:30:22,6595.00,25.12
2018-10-22_10:30:30,6613.00,25.12
2018-10-22_10:30:37,6592.00,25.12
2018-10-22_10:30:44,6567.00,25.12
2018-10-22_10:30:52,6580.00,25.12
2018-10-22_10:30:59,6580.00,25.12
2018-10-22_10:31:06,6572.00,25.12
2018-10-22_10:31:13,6565.00,25.12
2018-10-22_10:31:21,6556.00,25.12
2018-10-22_10:31:28,6557.00,25.06
2018-10-22_10:31:35,6560.00,25.06
2018-10-22_10:31:43,6593.00,25.06
2018-10-22_10:31:50,6558.00,25.06
2018-10-22_10:31:57,6547.00,25.12
2018-10-22_10:32:04,6573.00,25.12
2018-10-22_10:32:12,6579.00,25.12
2018-10-22_10:32:19,6573.00,25.12
2018-10-22_10:32:26,6564.00,25.06
2018-10-22_10:32:33,6570.00,25.06
2018-10-22_10:32:41,6555.00,25.12
2018-10-22_10:32:48,6560.00,25.12
2018-10-22_10:32:55,6603.00,25.12
2018-10-22_10:33:03,6561.00,25.12
2018-10-22_10:33:10,6572.00,25.12
2018-10-22_10:33:17,6582.00,25.12
2018-10-22_10:33:24,6588.00,25.12
2018-10-22_10:33:32,6562.00,25.12
2018-10-22_10:33:39,6572.00,25.12
2018-10-22_10:33:46,6578.00,25.12
2018-10-22_10:33:53,6540.00,25.19
2018-10-22_10:34:01,6567.00,25.19
2018-10-22_10:34:08,6557.00,25.19
2018-10-22_10:34:15,6552.00,25.19
2018-10-22_10:34:23,6576.00,25.12
2018-10-22_10:34:30,6566.00,25.19
2018-10-22_10:34:37,6541.00,25.19
2018-10-22_10:34:44,6567.00,25.19
2018-10-22_10:34:52,6562.00,25.19
2018-10-22_10:34:59,6546.00,25.19
2018-10-22_10:35:06,6576.00,25.19
2018-10-22_10:35:14,6579.00,25.19
2018-10-22_10:35:21,6570.00,25.19
2018-10-22_10:35:28,6585.00,25.19
2018-10-22_10:35:35,6582.00,25.19
2018-10-22_10:35:43,6545.00,25.12
2018-10-22_10:35:50,6555.00,25.12
2018-10-22_10:35:57,6580.00,25.12
2018-10-22_10:36:04,6569.00,25.12
2018-10-22_10:36:12,6568.00,25.12
2018-10-22_10:36:19,6585.00,25.12
2018-10-22_10:36:26,6586.00,25.19
2018-10-22_10:36:34,6552.00,25.19
2018-10-22_10:36:41,6558.00,25.19
2018-10-22_10:36:48,6570.00,25.19
2018-10-22_10:36:55,6591.00,25.19
2018-10-22_10:37:03,6558.00,25.19
2018-10-22_10:37:10,6567.00,25.19
2018-10-22_10:37:17,6551.00,25.19
2018-10-22_10:37:24,6577.00,25.19
2018-10-22_10:37:32,6577.00,25.19
2018-10-22_10:37:39,6551.00,25.19
2018-10-22_10:37:46,6578.00,25.19
2018-10-22_10:37:54,6579.00,25.19
2018-10-22_10:38:01,6572.00,25.19
2018-10-22_10:38:08,6559.00,25.19
